epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,255.639,1.04038,1.07098,1.69526,0.03888,0.72136,0.75187,0.74655,0.54876,1.00218,1.14837,2.15147,0.01738,0.000582435,0.000582435,0.000582435
38,261.679,1.05372,1.11811,1.69462,0.03909,0.72166,0.63007,0.66687,0.48848,0.98083,1.27161,2.10491,0.02255,0.000563181,0.000563181,0.000563181
39,269.408,1.06951,1.12281,1.73103,0.03818,0.83252,0.63113,0.70956,0.52163,0.9794,1.27881,2.07161,0.02675,0.000543837,0.000543837,0.000543837
40,275.406,1.04811,1.11776,1.67586,0.03552,0.79935,0.72066,0.76049,0.56055,0.92751,1.16341,2.04625,0.01761,0.000524434,0.000524434,0.000524434
41,282.33,0.95996,1.03762,1.61751,0.03344,0.85578,0.70337,0.76025,0.56244,0.9233,1.15593,2.03301,0.01851,0.000505,0.000505,0.000505
42,288.924,0.9043,0.97876,1.56392,0.03264,0.81227,0.67078,0.74455,0.55245,0.91216,1.23939,1.96878,0.02216,0.000485566,0.000485566,0.000485566
43,294.726,0.97045,1.03388,1.61294,0.03507,0.7906,0.68276,0.72961,0.56523,0.92389,1.20523,1.99918,0.01408,0.000466163,0.000466163,0.000466163
44,302.175,0.99074,1.02708,1.63615,0.02925,0.7075,0.75721,0.73503,0.5684,0.90141,1.16723,1.97783,0.01528,0.000446819,0.000446819,0.000446819
45,308.403,0.97698,1.01275,1.65184,0.03496,0.715,0.73474,0.73566,0.55629,0.91397,1.10222,2.04096,0.01288,0.000427565,0.000427565,0.000427565
46,315.721,1.01943,1.14827,1.61085,0.02778,0.72096,0.75151,0.74838,0.56908,0.88261,1.09851,2.00236,0.01728,0.00040843,0.00040843,0.00040843
47,322.004,0.96379,1.02843,1.60091,0.03234,0.76556,0.71093,0.73295,0.56752,0.91257,1.2067,2.01292,0.01915,0.000389445,0.000389445,0.000389445
48,329.841,0.94622,0.98897,1.58524,0.03304,0.6642,0.68712,0.69812,0.55496,0.90049,1.28173,1.98119,0.01857,0.000370637,0.000370637,0.000370637
49,335.69,0.97639,1.00639,1.60975,0.03403,0.75048,0.60131,0.66065,0.5156,0.93888,1.32974,2.03643,0.01571,0.000352037,0.000352037,0.000352037
50,342.844,0.96325,1.0012,1.59532,0.03279,0.61351,0.74883,0.68916,0.51972,0.95696,1.23458,2.02996,0.01985,0.000333672,0.000333672,0.000333672
51,349.333,0.99891,1.06317,1.61013,0.03505,0.7372,0.75479,0.75454,0.57482,0.90577,1.13911,1.9749,0.01863,0.000315572,0.000315572,0.000315572
52,355.377,0.92446,0.96747,1.56455,0.03388,0.83026,0.71309,0.78163,0.60785,0.88426,1.0781,1.95615,0.01934,0.000297763,0.000297763,0.000297763
53,362.958,0.874,0.8857,1.51128,0.02956,0.80873,0.70706,0.77226,0.60084,0.85446,1.10417,1.95027,0.01579,0.000280275,0.000280275,0.000280275
54,369.029,0.90957,0.9432,1.53572,0.03233,0.8119,0.67851,0.74437,0.58898,0.87823,1.21884,1.96812,0.01973,0.000263132,0.000263132,0.000263132
55,376.586,0.91277,0.9604,1.54638,0.02831,0.74899,0.73474,0.7414,0.58583,0.90122,1.14803,1.9899,0.02623,0.000246363,0.000246363,0.000246363
56,382.867,0.90544,0.94588,1.54007,0.02772,0.87929,0.62837,0.74933,0.57979,0.87369,1.10578,1.94271,0.02528,0.000229993,0.000229993,0.000229993
57,390.421,0.96774,0.96373,1.59479,0.02966,0.82302,0.65191,0.74244,0.5725,0.86682,1.12078,1.9332,0.02363,0.000214046,0.000214046,0.000214046
58,396.337,0.94815,0.97006,1.57432,0.03108,0.76343,0.71591,0.7461,0.58305,0.88533,1.14015,1.96268,0.02115,0.000198548,0.000198548,0.000198548
59,403.387,0.93787,0.97776,1.57703,0.0306,0.7707,0.70618,0.76144,0.59101,0.9024,1.16437,1.9956,0.0205,0.000183523,0.000183523,0.000183523
60,409.639,0.91497,0.96801,1.57707,0.03098,0.73744,0.74105,0.77346,0.60603,0.88349,1.15251,1.96039,0.02006,0.000168994,0.000168994,0.000168994
61,415.944,0.90729,0.94079,1.53315,0.02904,0.76521,0.7277,0.77657,0.6042,0.8764,1.1112,1.94951,0.01668,0.000154982,0.000154982,0.000154982
62,423.192,0.90131,0.87091,1.54371,0.03071,0.7621,0.7277,0.76079,0.58579,0.88885,1.08206,1.98668,0.01586,0.00014151,0.00014151,0.00014151
63,429.25,0.86922,0.89423,1.4995,0.02736,0.76252,0.73249,0.75312,0.58118,0.87176,1.08674,1.96573,0.01974,0.000128599,0.000128599,0.000128599
64,437.118,0.88312,0.90501,1.50403,0.02762,0.75207,0.70389,0.75837,0.59822,0.87079,1.11254,1.95927,0.01976,0.000116268,0.000116268,0.000116268
65,443.159,0.88439,0.91587,1.51426,0.02846,0.75022,0.75138,0.75716,0.60154,0.87147,1.1009,1.95396,0.01811,0.000104537,0.000104537,0.000104537
66,451.007,0.91257,0.93802,1.54816,0.02862,0.80469,0.73963,0.76783,0.61516,0.87129,1.10814,1.93942,0.01731,9.34225e-05,9.34225e-05,9.34225e-05
67,457.107,0.87399,0.87782,1.51428,0.02565,0.86075,0.68276,0.76224,0.60586,0.87321,1.11669,1.9315,0.01933,8.29431e-05,8.29431e-05,8.29431e-05
68,465.057,0.88233,0.90818,1.52237,0.03185,0.86488,0.68093,0.76292,0.60239,0.87104,1.1406,1.92125,0.02002,7.31145e-05,7.31145e-05,7.31145e-05
69,471.1,0.8604,0.84527,1.48769,0.02838,0.74981,0.75556,0.75161,0.59308,0.8755,1.15458,1.92754,0.02163,6.39518e-05,6.39518e-05,6.39518e-05
70,478.303,0.89211,0.88763,1.51368,0.0315,0.75684,0.76559,0.75536,0.58963,0.88495,1.14913,1.94665,0.02202,5.54691e-05,5.54691e-05,5.54691e-05
71,486.651,0.66431,1.05242,1.52189,0.0309,0.62717,0.79245,0.71881,0.55012,0.90053,1.15044,1.95576,0.02144,4.76796e-05,4.76796e-05,4.76796e-05
72,492.998,0.70515,1.01164,1.52292,0.02769,0.61285,0.77596,0.70856,0.54029,0.90146,1.15131,1.95297,0.02169,4.05953e-05,4.05953e-05,4.05953e-05
73,498.832,0.70844,1.01137,1.5062,0.02218,0.74474,0.66761,0.71746,0.54945,0.90006,1.15375,1.94823,0.02269,3.4227e-05,3.4227e-05,3.4227e-05
74,504.066,0.63256,0.80872,1.44415,0.02326,0.77621,0.666,0.73417,0.57264,0.88435,1.1516,1.91974,0.02186,2.85847e-05,2.85847e-05,2.85847e-05
75,511.067,0.66511,0.85556,1.43704,0.02367,0.75191,0.70516,0.74379,0.58809,0.87691,1.13402,1.90791,0.02218,2.36769e-05,2.36769e-05,2.36769e-05
76,516.255,0.68475,0.89707,1.45367,0.02368,0.70432,0.74691,0.75913,0.59306,0.88142,1.12231,1.90974,0.02208,1.95113e-05,1.95113e-05,1.95113e-05
77,521.977,0.60732,0.70328,1.39446,0.02266,0.71433,0.76559,0.76408,0.59703,0.86446,1.11276,1.88521,0.02298,1.60943e-05,1.60943e-05,1.60943e-05
78,528.414,0.62985,0.76324,1.43087,0.01924,0.72287,0.77264,0.76757,0.60605,0.86023,1.09703,1.88442,0.02263,1.34311e-05,1.34311e-05,1.34311e-05
79,533.779,0.64584,0.84247,1.42977,0.0185,0.72426,0.77264,0.77369,0.60648,0.85684,1.08131,1.88262,0.02289,1.15259e-05,1.15259e-05,1.15259e-05
80,540.967,0.6577,0.75398,1.49855,0.02053,0.75497,0.78921,0.77952,0.61126,0.86454,1.08042,1.88852,0.02408,1.03816e-05,1.03816e-05,1.03816e-05
